Timestamp,How long have you been working as a data journalist?,Is data journalism your primary employment?,What type of organization do you primarily work for?,What tasks do you normally perform in a data journalism project (select all that apply)?,What tools do you normally use to work with data? (select all that apply),How would you describe your knowledge in these areas? [Data analysis],How would you describe your knowledge in these areas? [Statistics],How would you describe your knowledge in these areas? [Coding/Programming Languages],How would you describe your knowledge in these areas? [Data visualisation],Do you work within a team?,How many teammates do you have?,Do your teammates use data in their work?,"If yes, what tools do they mostly use? (select all that apply)",Do you learn well with... [Text-only content],Do you learn well with... [Text and image content],"Do you learn well with... [Text, image and videos]",Do you learn well with... [Interactive online content],Do you learn well with... [a mix of learning content and exercices (quiz...)],Do you learn well with... [lessons based on a real project],Are there specific things that do not work for you when you're trying to learn something?,Have you taken an R course before?,Which course was it?,Which format was it?,How much time did you spend on it?,Did you manage to finish it?,"If you didn't, could you select the reasons why? (Select all that apply)",Could you select the reasons why? (select all that apply),Would you be interested in an R course specifically designed for data journalists?,What is your academic background? (select all that apply),Country,Primary working language
31/01/2017 12:09:30,Less than a year,No,Radio,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc)",Very little,Very little,Very little,Very little,No,,,,"Yes, no problem","Yes, no problem","Yes, no problem",This is my favorite way to learn,This is my favorite way to learn,"Yes, no problem",,No,,,,,,I don't know what R is,Yes,Journalism,South Africa ,English
31/01/2017 12:21:33,Less than a year,I work fulltime as a data analyst,Consultancy,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Tableau (or similar software), Alteryx ",Moderate,Moderate,Moderate,Moderate,Yes,More than 50,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc), Tableau (or similar software), Alteryx","Yes, no problem","Yes, no problem",This is my favorite way to learn,"Yes, no problem","Yes, no problem",This is my favorite way to learn,No options to access the course on the go ,No,,,,,,"I haven't found an appropriate course that addresses my needs, I use other software to work with data",Yes,Journalism,Uk,English
31/01/2017 13:16:28,1-4 years,"Yes, but I work only part time",TV news organization,"Data gathering, Data cleaning, Data analysis","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews)",Moderate,Very little,Moderate,Moderate,No,,,,It depends,This is my favorite way to learn,"Yes, no problem",It depends,"Yes, no problem","Yes, no problem",,No,,,,,,I haven't found an appropriate course that addresses my needs,Yes,Communications/Social Sciences,germany,german
31/01/2017 13:24:00,1-4 years,No,International Organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software)",Moderate,High,Very little,Moderate,Yes,Less than 5,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software)","Yes, no problem",This is my favorite way to learn,This is my favorite way to learn,It depends,Not really,It depends,Time consuming courses,No,,,,,,"I don't find it useful for my daily work, I haven't found an appropriate course that addresses my needs",Yes,Economics/Statistics,Guatemala,Spanish
31/01/2017 13:48:11,1-4 years,"Yes, I work full-time within a newsroom",Print and online news organization,"Data gathering, Data visualization","Spreadsheets (Google sheets, Excel, Libre Calc), Illustrator and D3.js",Moderate,Very little,Moderate,Very High,No,,,,Not really,It depends,"Yes, no problem",This is my favorite way to learn,"Yes, no problem",This is my favorite way to learn,No examples of how something would be used in a real world application,No,,,,,,"I haven't found an appropriate course that addresses my needs, I use other software to work with data",Yes,Journalism,United States,English
31/01/2017 13:48:28,1-4 years,"Yes, I work full-time within a newsroom",Print and online news organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine",Moderate,Moderate,None,Moderate,Yes,Less than 5,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Programming languages (such as Python)","Yes, no problem",This is my favorite way to learn,"Yes, no problem","Yes, no problem","Yes, no problem",This is my favorite way to learn,,No,,,,,,"I haven't found an appropriate course that addresses my needs, I don't have enough time",Yes,Journalism,Brazil,Portuguese
31/01/2017 14:04:26,1-4 years,"Yes, I work full-time as a freelance",Online only news organization,Writing/presenting the story,"Spreadsheets (Google sheets, Excel, Libre Calc)",Moderate,Very little,None,Moderate,Yes,5-19,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc)",Not really,It depends,"Yes, no problem",This is my favorite way to learn,"Yes, no problem","Yes, no problem",nope,No,,,,,,"I don't know what R is, I haven't found an appropriate course that addresses my needs",Yes,Communications/Social Sciences,Nigeria,English
31/01/2017 14:26:33,1-4 years,No,Self,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews)",Very little,Moderate,Very little,Moderate,No,,,,It depends,"Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",This is my favorite way to learn,,Yes,"swirl, tryR and Datacamp introductory course",Online + in person workshop,1-2 months,Yes,,,Yes,Economics/Statistics,Ghana,R or English
31/01/2017 14:27:36,Less than a year,No,Print and online news organization,"Data gathering, Data cleaning","Spreadsheets (Google sheets, Excel, Libre Calc)",Very little,Very little,Very little,Very little,No,,,,"Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",,No,,,,,,I haven't found an appropriate course that addresses my needs,Yes,Journalism,Canada,English
31/01/2017 15:28:18,Less than a year,"Yes, but I work only part time",Online only news organization,"Data gathering, Data cleaning, Data analysis, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Tableau (or similar software)",Moderate,Moderate,Very little,Moderate,Yes,Less than 5,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software), Programming languages (such as Python)","Yes, no problem",This is my favorite way to learn,Not really,"Yes, no problem","Yes, no problem",This is my favorite way to learn,No hands on excercises,Yes,Data Cívica: Data Sprint,In person workshop,Less than a week,Yes,,,Yes,"Journalism, Communications/Social Sciences",Mexico,English / Spanish
31/01/2017 16:15:08,1-4 years,No,Print and online news organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Programming languages (such as Python)",Moderate,Very little,High,Moderate,No,,,,Not really,It depends,"Yes, no problem",This is my favorite way to learn,"Yes, no problem",This is my favorite way to learn,,No,,,,,,"I haven't found an appropriate course that addresses my needs, I don't have enough time, I use other software to work with data",Yes,Journalism,Switzerland,German
31/01/2017 16:23:26,Less than a year,"Yes, but I work only part time",Online only news organization,"Data gathering, Data cleaning, Data analysis","Spreadsheets (Google sheets, Excel, Libre Calc)",Very little,Very little,High,None,No,,,,It depends,It depends,"Yes, no problem",It depends,It depends,This is my favorite way to learn,,No,,,,,,"I haven't found an appropriate course that addresses my needs, I don't have enough time",Yes,"Computer Science / Data Science, Communications/Social Sciences",Hungary,English
31/01/2017 16:34:58,Less than a year,"Yes, but I work only part time",Print and online news organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Tableau (or similar software)",Moderate,Moderate,Very little,Moderate,No,,,,It depends,It depends,This is my favorite way to learn,"Yes, no problem","Yes, no problem",This is my favorite way to learn,,Yes,YouTube videos ,Online only,2-4 weeks,Yes,,,Yes,Journalism,Brazil ,Portuguese 
31/01/2017 19:01:41,10 years or more,"Yes, but I work only part time",Online only news organization,"Data gathering, Data cleaning, Data analysis, Data visualization","Spreadsheets (Google sheets, Excel, Libre Calc), Tableau (or similar software)",High,Moderate,Very little,High,No,,,,This is my favorite way to learn,It depends,No idea,No idea,Not really,No idea,,Yes,Cousea,Online only,2-4 weeks,No,I didn't have enough time,,Yes,"Journalism, Information science",South Korea,English
31/01/2017 20:51:24,5-9 years,"Yes, I work full-time within a newsroom",Online only news organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story, Open data advocacy","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews)",High,High,Moderate,Moderate,No,,,,"Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",This is my favorite way to learn,This is my favorite way to learn,Watching someone perform a process without getting to replicate it.,No,,,,,,,Yes,"Journalism, Communications/Social Sciences",United States ,English
31/01/2017 22:29:30,1-4 years,No,Research purposes,"Data gathering, Data analysis, Data visualization","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews)",Very little,Very little,Very little,Very little,No,,,,"Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",This is my favorite way to learn,"Yes, no problem",Too much pressure ,No,,,,,,I don't have enough time,Yes,"Journalism, Computer Science / Data Science, Communications/Social Sciences",Spain,Spanish
01/02/2017 00:30:39,5-9 years,"Yes, I work full-time within a newsroom",Print and online news organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software), Programming languages (such as Python)",Moderate,Moderate,Moderate,Moderate,Yes,Less than 5,"No, I'm the only one to really use data and data tools",,It depends,"Yes, no problem",This is my favorite way to learn,Not really,It depends,It depends,Vídeos too long,No,,,,,,,Yes,Journalism,South África ,English
01/02/2017 00:48:38,1-4 years,No,Print and online news organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software)",Moderate,Moderate,Moderate,Moderate,No,,,,"Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",This is my favorite way to learn,,Yes,Coursera Data Analysis,Online only,More than 2 months,Yes,,,Yes,Journalism,South Africa,English
01/02/2017 02:12:27,1-4 years,No,Online only news organization,"Data gathering, Data cleaning, Data analysis, Data visualization","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software)",Moderate,Moderate,Very little,High,Yes,20-49,"Yes, but we mostly work on separate stories","Spreadsheets (Google sheets, Excel, Libre Calc), Tableau (or similar software)",It depends,"Yes, no problem",It depends,It depends,It depends,"Yes, no problem",,Yes,Coursera,Online only,2-4 weeks,No,I didn't have enough time,,Yes,"Economics/Statistics, Communications/Social Sciences",Switzerland,English
01/02/2017 04:01:22,1-4 years,"Yes, I work full-time within a newsroom",Print and online news organization,Data visualization,"Spreadsheets (Google sheets, Excel, Libre Calc)",Very little,Very little,None,Very little,No,,,,This is my favorite way to learn,This is my favorite way to learn,This is my favorite way to learn,This is my favorite way to learn,This is my favorite way to learn,This is my favorite way to learn,,No,,,,,,I don't know what R is,Yes,Journalism,Tajikistan,russian
01/02/2017 04:01:51,1-4 years,"Yes, I work full-time within a newsroom","Radio, TV and online","Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Programming languages (such as Python)",High,Moderate,High,High,Yes,Less than 5,"Yes, but we mostly work on separate stories","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Programming languages (such as Python)","Yes, no problem","Yes, no problem",It depends,"Yes, no problem","Yes, no problem",This is my favorite way to learn,,Yes,Some Coursera courses by Johns Hopkins Uni,Online only,1-2 months,Yes,,,Yes,Geography,Switzerland,German
01/02/2017 04:05:48,Less than a year,I work with data often even though it is not my primary work,Research organisation producing data on perceptions,"Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc)",Very little,Moderate,Very little,Very little,Yes,Less than 5,"No, I'm the only one to really use data and data tools",,"Yes, no problem",This is my favorite way to learn,This is my favorite way to learn,"Yes, no problem",This is my favorite way to learn,"Yes, no problem",Abstract examples without any real world applications,No,,,,,,"I don't have enough time, I use other software to work with data",Yes,"Economics/Statistics, Communications/Social Sciences",Kenya but working across various African countries.,English
01/02/2017 04:16:01,1-4 years,No,Online only news organization,"Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software)",Moderate,Very little,Moderate,High,Yes,Less than 5,"No, I'm the only one to really use data and data tools",,"Yes, no problem","Yes, no problem",This is my favorite way to learn,"Yes, no problem",It depends,This is my favorite way to learn,When what is being taught isn't practical enough. ,Yes,It was an online course by DATA CAMP,Online only,2-4 weeks,No,I didn't have enough time,,Yes,Communications/Social Sciences,Ghana,English 
01/02/2017 04:18:28,Less than a year,No,Online only news organization,"Data gathering, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine",Very little,Moderate,Very little,Moderate,No,,,,"Yes, no problem",This is my favorite way to learn,This is my favorite way to learn,This is my favorite way to learn,"Yes, no problem","Yes, no problem",None,No,,,,,,I don't have enough time,Yes,Journalism,Ghana,English
01/02/2017 04:54:53,1-4 years,"Yes, but I work only part time",Print and online news organization,"Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc)",Moderate,Moderate,Very little,Moderate,No,,,,It depends,It depends,"Yes, no problem","Yes, no problem",It depends,"Yes, no problem",huge information at once,No,,,,,,I don't know what R is,Yes,Computer Science / Data Science,Algeria,French
01/02/2017 05:16:21,1-4 years,"Yes, I work full-time within a newsroom","Public Broadcasting (Radio, TV, Online)","Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software)",Moderate,Moderate,Very little,Moderate,No,,,,Not really,It depends,"Yes, no problem",This is my favorite way to learn,"Yes, no problem","Yes, no problem",,Yes,DataCamp,Online only,2-4 weeks,Yes,,,Yes,Journalism,Germany,German
01/02/2017 05:25:32,Less than a year,"Yes, but I work only part time",Online only news organization,"Data gathering, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc)",Very little,Very little,None,Very little,No,,,,"Yes, no problem","Yes, no problem","Yes, no problem",It depends,Not really,Not really,,No,,,,,,I don't know what R is,Yes,Journalism,Ghana,English
01/02/2017 05:26:34,Less than a year,No,PR ,Data analysis,"Statistical packages (such as Stata, SPSS, SAS, R, Eviews)",Moderate,Moderate,Very little,Moderate,Yes,Less than 5,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc)","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",Lack of practical examples,No,,,,,,I don't know what R is,Yes,Pubic Relations,Ghana,English 
01/02/2017 05:27:53,1-4 years,"Yes, but I work only part time",Radio,Writing/presenting the story,"Spreadsheets (Google sheets, Excel, Libre Calc)",Very little,None,None,None,No,,,,This is my favorite way to learn,"Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",,No,,,,,,I haven't found an appropriate course that addresses my needs,Yes,"Journalism, Communications/Social Sciences",Ghana,English 
01/02/2017 06:40:12,1-4 years,"Yes, I work full-time within a newsroom","TV, Radio and Online","Data gathering, Data cleaning, Data analysis, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Programming languages (such as Python)",Moderate,Moderate,Very little,Moderate,Yes,Less than 5,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc), Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Programming languages (such as Python)",Not really,It depends,"Yes, no problem",This is my favorite way to learn,It depends,This is my favorite way to learn,,Yes,"Codeschool, Coursera",Online only,2-4 weeks,No,"I didn't have enough time, The course was too complicated, I didn't find it useful for my work",,Yes,"Journalism, Communications/Social Sciences",Switzerland,German
01/02/2017 06:42:12,1-4 years,"Yes, I work full-time within a newsroom","Public Broadcasting (Online, TV, Radio)","Data gathering, Data cleaning, Data analysis, Data visualization, Writing/presenting the story","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Tableau (or similar software)",Moderate,Moderate,Very little,High,Yes,5-19,"Yes, we collaborate often on data-driven stories","Spreadsheets (Google sheets, Excel, Libre Calc), Open Refine, Statistical packages (such as Stata, SPSS, SAS, R, Eviews), Tableau (or similar software), Programming languages (such as Python)","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem","Yes, no problem",This is my favorite way to learn,,No,,,,,,,Yes,Journalism,Deutschland,deutsch
